issue_number;issue_url;title;domain;domain_source;author;created_at
283;https://github.com/svemailproject/TheySoldMyEmail/issues/283;shodan.io;www.shodan.io;body;qscqscqscqs;2025-11-14T09:02:53Z
282;https://github.com/svemailproject/TheySoldMyEmail/issues/282;securitytrails.com;www.securitytrails.com;body;qscqscqscqs;2025-11-14T08:55:15Z
281;https://github.com/svemailproject/TheySoldMyEmail/issues/281;censys.io;www.censys.io;body;qscqscqscqs;2025-11-13T15:11:55Z
280;https://github.com/svemailproject/TheySoldMyEmail/issues/280;esimplus.me;www.esimplus.me;body;qscqscqscqs;2025-11-13T14:48:20Z
279;https://github.com/svemailproject/TheySoldMyEmail/issues/279;kontrafunk.radio;www.kontrafunk.radio;body;qscqscqscqs;2025-11-13T12:43:28Z
278;https://github.com/svemailproject/TheySoldMyEmail/issues/278;serpapi.com;www.serpapi.com;body;qscqscqscqs;2025-11-13T12:36:20Z
277;https://github.com/svemailproject/TheySoldMyEmail/issues/277;wieistmeineip.de;www.wieistmeineip.de;body;qscqscqscqs;2025-11-13T12:28:49Z
276;https://github.com/svemailproject/TheySoldMyEmail/issues/276;orangewebsite.com;www.orangewebsite.com;body;qscqscqscqs;2025-11-12T23:20:07Z
275;https://github.com/svemailproject/TheySoldMyEmail/issues/275;https://mailchimp.com/;www.mailchimp.com;body;Bob-Nixkoenner;2025-11-12T20:18:35Z
274;https://github.com/svemailproject/TheySoldMyEmail/issues/274;https://igraal.com/;www.de.igraal.com;body;Bob-Nixkoenner;2025-11-12T20:13:49Z
273;https://github.com/svemailproject/TheySoldMyEmail/issues/273;https://www.deutschlandcard.de/;www.deutschlandcard.de;body;Bob-Nixkoenner;2025-11-12T20:12:51Z
272;https://github.com/svemailproject/TheySoldMyEmail/issues/272;https://geizhals.de/;www.geizhals.de;body;Bob-Nixkoenner;2025-11-12T20:12:10Z
271;https://github.com/svemailproject/TheySoldMyEmail/issues/271;https://softonic.com/;www.softonic.com;body;Bob-Nixkoenner;2025-11-12T20:10:38Z
270;https://github.com/svemailproject/TheySoldMyEmail/issues/270;https://www.pcloud.com/;www.pcloud.com;body;Bob-Nixkoenner;2025-11-12T20:09:40Z
269;https://github.com/svemailproject/TheySoldMyEmail/issues/269;https://www.dropbox.com/;www.dropbox.com;body;Bob-Nixkoenner;2025-11-12T20:07:32Z
268;https://github.com/svemailproject/TheySoldMyEmail/issues/268;https://nordvpn.com/;www.nordvpn.com;body;Bob-Nixkoenner;2025-11-12T20:06:47Z
267;https://github.com/svemailproject/TheySoldMyEmail/issues/267;https://www.hetzner.com/;www.hetzner.com;body;Bob-Nixkoenner;2025-11-12T19:57:28Z
266;https://github.com/svemailproject/TheySoldMyEmail/issues/266;Archive.org;www.archive.org;body;qscqscqscqs;2025-11-12T11:56:10Z
265;https://github.com/svemailproject/TheySoldMyEmail/issues/265;https://www.kaercher.com/;www.kaercher.com;body;Bob-Nixkoenner;2025-11-11T23:06:46Z
264;https://github.com/svemailproject/TheySoldMyEmail/issues/264;Pfcloud;www.pfcloud.io;body;qscqscqscqs;2025-11-11T19:18:37Z
263;https://github.com/svemailproject/TheySoldMyEmail/issues/263;Ipinfo.io;www.ipinfo.io;body;qscqscqscqs;2025-11-11T19:16:07Z
262;https://github.com/svemailproject/TheySoldMyEmail/issues/262;Deepseek;www.chat.deepseek.com;body;qscqscqscqs;2025-11-11T19:14:10Z
261;https://github.com/svemailproject/TheySoldMyEmail/issues/261;Abuseipdb.com;www.abuseipdb.com;body;qscqscqscqs;2025-11-11T15:29:22Z
260;https://github.com/svemailproject/TheySoldMyEmail/issues/260;Office Discount;www.office-discount.de;body;qscqscqscqs;2025-11-10T17:53:47Z
259;https://github.com/svemailproject/TheySoldMyEmail/issues/259;https://schoener-wohnen.de/;www.shop.schoener-wohnen.de;body;Bob-Nixkoenner;2025-11-10T16:22:04Z
258;https://github.com/svemailproject/TheySoldMyEmail/issues/258;https://www-de.wera.de/;www.www-de.wera.de;body;Bob-Nixkoenner;2025-11-10T16:13:50Z
257;https://github.com/svemailproject/TheySoldMyEmail/issues/257;https://www.bosch-professional.com/;www.bosch-professional.com;body;Bob-Nixkoenner;2025-11-10T15:18:02Z
256;https://github.com/svemailproject/TheySoldMyEmail/issues/256;https://www.metabo.com/;www.metabo.com;body;Bob-Nixkoenner;2025-11-10T15:16:45Z
255;https://github.com/svemailproject/TheySoldMyEmail/issues/255;https://www.knipex.de/;www.knipex.de;body;Bob-Nixkoenner;2025-11-10T15:14:29Z
254;https://github.com/svemailproject/TheySoldMyEmail/issues/254;https://wd40.de/;www.wd40.de;body;Bob-Nixkoenner;2025-11-10T15:07:43Z
253;https://github.com/svemailproject/TheySoldMyEmail/issues/253;https://www.makita.de/;www.makita.de;body;Bob-Nixkoenner;2025-11-10T15:03:33Z
252;https://github.com/svemailproject/TheySoldMyEmail/issues/252;https://www.einhell.de/;www.einhell.de;body;Bob-Nixkoenner;2025-11-10T15:00:14Z
251;https://github.com/svemailproject/TheySoldMyEmail/issues/251;prepaid-host.com;www.prepaid-host.com;body;qscqscqscqs;2025-11-10T12:43:57Z
250;https://github.com/svemailproject/TheySoldMyEmail/issues/250;Whisky.de;www.whisky.de;body;qscqscqscqs;2025-11-08T20:56:12Z
249;https://github.com/svemailproject/TheySoldMyEmail/issues/249;Weltwoche Newsletter;www.weltwoche.ch;body;qscqscqscqs;2025-11-08T20:50:05Z
248;https://github.com/svemailproject/TheySoldMyEmail/issues/248;Thermal Grizzly;www.thermal-grizzly.com;body;qscqscqscqs;2025-11-08T20:47:07Z
247;https://github.com/svemailproject/TheySoldMyEmail/issues/247;Claude AI;www.claude.ai;body;qscqscqscqs;2025-11-08T20:40:23Z
246;https://github.com/svemailproject/TheySoldMyEmail/issues/246;IPv64;www.ipv64.net;body;qscqscqscqs;2025-11-08T20:34:43Z
245;https://github.com/svemailproject/TheySoldMyEmail/issues/245;Servus TV;www.servustv.com;body;qscqscqscqs;2025-11-08T19:27:27Z
244;https://github.com/svemailproject/TheySoldMyEmail/issues/244;PRQ;www.prq.se;body;qscqscqscqs;2025-11-08T18:45:15Z
243;https://github.com/svemailproject/TheySoldMyEmail/issues/243;Adobe;www.adobe.com;body;qscqscqscqs;2025-11-08T18:39:18Z
242;https://github.com/svemailproject/TheySoldMyEmail/issues/242;Campact-Newsletter;www.campact.de;body;qscqscqscqs;2025-11-08T18:33:10Z
241;https://github.com/svemailproject/TheySoldMyEmail/issues/241;Apollo News;www.apollo-news.net;body;qscqscqscqs;2025-11-08T18:24:40Z
240;https://github.com/svemailproject/TheySoldMyEmail/issues/240;https://www.entscheiderclub.de/;www.entscheiderclub.de;body;Bob-Nixkoenner;2025-11-07T17:59:43Z
238;https://github.com/svemailproject/TheySoldMyEmail/issues/238;https://www.love2say.de/;www.love2say.de;body;Bob-Nixkoenner;2025-11-07T17:58:08Z
237;https://github.com/svemailproject/TheySoldMyEmail/issues/237;https://mobrog.com/;www.mobrog.com;body;Bob-Nixkoenner;2025-11-07T17:57:13Z
236;https://github.com/svemailproject/TheySoldMyEmail/issues/236;https://www.finanzcheck.de/;www.finanzcheck.de;body;Bob-Nixkoenner;2025-11-07T17:55:28Z
235;https://github.com/svemailproject/TheySoldMyEmail/issues/235;https://www.lotto24.de/;www.lotto24.de;body;Bob-Nixkoenner;2025-11-07T17:51:11Z
234;https://github.com/svemailproject/TheySoldMyEmail/issues/234;https://www.canva.com/;www.canva.com;body;Bob-Nixkoenner;2025-11-07T17:50:02Z
233;https://github.com/svemailproject/TheySoldMyEmail/issues/233;https://smallpdf.com/;www.smallpdf.com;body;Bob-Nixkoenner;2025-11-07T17:48:55Z
232;https://github.com/svemailproject/TheySoldMyEmail/issues/232;https://www.n-tv.de/;www.n-tv.de;body;Bob-Nixkoenner;2025-11-07T17:41:55Z
231;https://github.com/svemailproject/TheySoldMyEmail/issues/231;https://wikipedia.org/;www.de.wikipedia.org;body;Bob-Nixkoenner;2025-11-07T17:37:52Z
230;https://github.com/svemailproject/TheySoldMyEmail/issues/230;https://www.couchstyle.de/;www.couchstyle.de;body;Bob-Nixkoenner;2025-11-07T17:34:07Z
228;https://github.com/svemailproject/TheySoldMyEmail/issues/228;https://www.mystipendium.de/;www.mystipendium.de;body;Bob-Nixkoenner;2025-11-07T17:31:35Z
227;https://github.com/svemailproject/TheySoldMyEmail/issues/227;https://www.gewinnspiele-markt.de/;www.gewinnspiele-markt.de;body;Bob-Nixkoenner;2025-11-07T17:30:20Z
226;https://github.com/svemailproject/TheySoldMyEmail/issues/226;https://gewinnspiele-in-deutschland.de/;www.gewinnspiele-in-deutschland.de;body;Bob-Nixkoenner;2025-11-07T17:24:13Z
225;https://github.com/svemailproject/TheySoldMyEmail/issues/225;https://www.einfach-sparsam.de/;www.einfach-sparsam.de;body;Bob-Nixkoenner;2025-11-07T17:22:27Z
224;https://github.com/svemailproject/TheySoldMyEmail/issues/224;https://www.chefkoch.de/;www.chefkoch.de;body;Bob-Nixkoenner;2025-11-07T17:21:21Z
223;https://github.com/svemailproject/TheySoldMyEmail/issues/223;https://www.bunte.de/;www.bunte.de;body;Bob-Nixkoenner;2025-11-07T17:19:57Z
221;https://github.com/svemailproject/TheySoldMyEmail/issues/221;https://www.inside-digital.de/;www.inside-digital.de;body;Bob-Nixkoenner;2025-11-07T17:17:54Z
220;https://github.com/svemailproject/TheySoldMyEmail/issues/220;https://www.milka.com/;www.milka.com;body;Bob-Nixkoenner;2025-11-07T17:16:41Z
219;https://github.com/svemailproject/TheySoldMyEmail/issues/219;https://www.profiwin.de/;www.profiwin.de;body;Bob-Nixkoenner;2025-11-07T17:15:50Z
218;https://github.com/svemailproject/TheySoldMyEmail/issues/218;https://www.winario.de/;www.winario.de;body;Bob-Nixkoenner;2025-11-07T17:14:42Z
217;https://github.com/svemailproject/TheySoldMyEmail/issues/217;https://www.welt.de/;www.welt.de;body;Bob-Nixkoenner;2025-11-07T16:03:46Z
215;https://github.com/svemailproject/TheySoldMyEmail/issues/215;https://www.spiegel.de/;www.spiegel.de;body;Bob-Nixkoenner;2025-11-07T16:00:46Z
214;https://github.com/svemailproject/TheySoldMyEmail/issues/214;https://www.zdfheute.de/;www.zdfheute.de;body;Bob-Nixkoenner;2025-11-07T15:59:22Z
213;https://github.com/svemailproject/TheySoldMyEmail/issues/213;https://www.fr.de/;www.fr.de;body;Bob-Nixkoenner;2025-11-07T15:58:36Z
211;https://github.com/svemailproject/TheySoldMyEmail/issues/211;https://www.zeit.de/;www.zeit.de;body;Bob-Nixkoenner;2025-11-07T15:55:07Z
210;https://github.com/svemailproject/TheySoldMyEmail/issues/210;https://www.bild.de/;www.bild.de;body;Bob-Nixkoenner;2025-11-07T15:53:28Z
209;https://github.com/svemailproject/TheySoldMyEmail/issues/209;https://www.nius.de/;www.nius.de;body;Bob-Nixkoenner;2025-11-07T15:51:49Z
208;https://github.com/svemailproject/TheySoldMyEmail/issues/208;https://www.heise.de/;www.heise.de;body;Bob-Nixkoenner;2025-11-07T15:48:18Z
207;https://github.com/svemailproject/TheySoldMyEmail/issues/207;https://t3n.de/;www.t3n.de;body;Bob-Nixkoenner;2025-11-07T15:47:28Z
206;https://github.com/svemailproject/TheySoldMyEmail/issues/206;https://www.wiwo.de/;www.wiwo.de;body;Bob-Nixkoenner;2025-11-07T15:46:43Z
205;https://github.com/svemailproject/TheySoldMyEmail/issues/205;https://www.news.de/;www.news.de;body;Bob-Nixkoenner;2025-11-07T15:45:40Z
204;https://github.com/svemailproject/TheySoldMyEmail/issues/204;https://www.golem.de/;www.golem.de;body;Bob-Nixkoenner;2025-11-07T15:44:54Z
203;https://github.com/svemailproject/TheySoldMyEmail/issues/203;Wirtschaftsregion Meißen Newsletter;www.wirtschaftsregion-meissen.de;body;qscqscqscqs;2025-11-06T19:31:50Z
202;https://github.com/svemailproject/TheySoldMyEmail/issues/202;Kettner Edelmetalle;www.kettner-edelmetalle.de;body;qscqscqscqs;2025-11-05T22:50:53Z
201;https://github.com/svemailproject/TheySoldMyEmail/issues/201;https://www.backmarket.de/;www.backmarket.de;body;Bob-Nixkoenner;2025-11-05T21:24:14Z
200;https://github.com/svemailproject/TheySoldMyEmail/issues/200;Vodafone Newsletter;www.zuhauseplus.vodafone.de;body;targetingcat;2025-11-04T20:42:04Z
199;https://github.com/svemailproject/TheySoldMyEmail/issues/199;Komoot;www.komoot.com;body;targetingcat;2025-11-04T20:40:41Z
198;https://github.com/svemailproject/TheySoldMyEmail/issues/198;BW-Online-Shop;www.bw-online-shop.com;body;targetingcat;2025-11-04T20:38:56Z
197;https://github.com/svemailproject/TheySoldMyEmail/issues/197;Olight;www.de.olight.com;body;targetingcat;2025-11-04T20:38:00Z
196;https://github.com/svemailproject/TheySoldMyEmail/issues/196;Musicstore;www.musicstore.de;body;targetingcat;2025-11-04T20:36:19Z
195;https://github.com/svemailproject/TheySoldMyEmail/issues/195;Thomann;www.thomann.de;body;targetingcat;2025-11-04T20:35:25Z
194;https://github.com/svemailproject/TheySoldMyEmail/issues/194;Github;;none;targetingcat;2025-11-04T20:32:34Z
193;https://github.com/svemailproject/TheySoldMyEmail/issues/193;MPB;www.mpb.com;body;targetingcat;2025-11-04T20:31:47Z
192;https://github.com/svemailproject/TheySoldMyEmail/issues/192;Bayerdynamic;www.beyerdynamic.de;body;targetingcat;2025-11-04T20:30:45Z
191;https://github.com/svemailproject/TheySoldMyEmail/issues/191;Elgato;www.elgato.com;body;targetingcat;2025-11-04T20:27:43Z
190;https://github.com/svemailproject/TheySoldMyEmail/issues/190;Shure;www.shure.com;body;targetingcat;2025-11-04T20:26:47Z
189;https://github.com/svemailproject/TheySoldMyEmail/issues/189;Telefunken Elektroakustik;www.telefunken-elektroakustik.com;body;targetingcat;2025-11-04T20:24:43Z
188;https://github.com/svemailproject/TheySoldMyEmail/issues/188;Bitfocus;www.bitfocus.io;body;targetingcat;2025-11-04T20:22:08Z
187;https://github.com/svemailproject/TheySoldMyEmail/issues/187;Wargaming.net;www.wargaming.net;body;targetingcat;2025-11-04T20:19:03Z
186;https://github.com/svemailproject/TheySoldMyEmail/issues/186;Snapchat;www.snapchat.com;body;targetingcat;2025-11-04T20:15:03Z
185;https://github.com/svemailproject/TheySoldMyEmail/issues/185;Kik Messenger;www.kik.com;body;targetingcat;2025-11-04T20:12:24Z
184;https://github.com/svemailproject/TheySoldMyEmail/issues/184;https://www.etoro.com/;www.etoro.com;body;Bob-Nixkoenner;2025-11-04T17:37:26Z
183;https://github.com/svemailproject/TheySoldMyEmail/issues/183;https://www.flatex.de/;www.flatex.de;body;Bob-Nixkoenner;2025-11-04T17:36:42Z
182;https://github.com/svemailproject/TheySoldMyEmail/issues/182;https://scalable.capital/;www.de.scalable.capital;body;Bob-Nixkoenner;2025-11-04T17:35:52Z
181;https://github.com/svemailproject/TheySoldMyEmail/issues/181;https://traderepublic.com/;www.traderepublic.com;body;Bob-Nixkoenner;2025-11-04T17:35:25Z
180;https://github.com/svemailproject/TheySoldMyEmail/issues/180;https://www.kraken.com;www.kraken.com;body;Bob-Nixkoenner;2025-11-04T17:33:56Z
179;https://github.com/svemailproject/TheySoldMyEmail/issues/179;https://www.coinbase.com/;www.coinbase.com;body;Bob-Nixkoenner;2025-11-04T17:33:27Z
178;https://github.com/svemailproject/TheySoldMyEmail/issues/178;https://bitvavo.com/;www.bitvavo.com;body;Bob-Nixkoenner;2025-11-04T17:32:34Z
177;https://github.com/svemailproject/TheySoldMyEmail/issues/177;https://www.bitpanda.com/;www.bitpanda.com;body;Bob-Nixkoenner;2025-11-04T17:31:50Z
176;https://github.com/svemailproject/TheySoldMyEmail/issues/176;https://www.bitcoin.de/;www.bitcoin.de;body;Bob-Nixkoenner;2025-11-04T17:31:07Z
175;https://github.com/svemailproject/TheySoldMyEmail/issues/175;https://bisonapp.com/;www.bisonapp.com;body;Bob-Nixkoenner;2025-11-04T17:30:09Z
174;https://github.com/svemailproject/TheySoldMyEmail/issues/174;https://www.moebelix.at/;www.moebelix.at;body;Bob-Nixkoenner;2025-11-04T16:46:43Z
173;https://github.com/svemailproject/TheySoldMyEmail/issues/173;https://www.thalia.de/;www.thalia.de;body;Bob-Nixkoenner;2025-11-04T16:45:06Z
172;https://github.com/svemailproject/TheySoldMyEmail/issues/172;https://www.peek-cloppenburg.de/;www.peek-cloppenburg.de;body;Bob-Nixkoenner;2025-11-04T16:44:03Z
171;https://github.com/svemailproject/TheySoldMyEmail/issues/171;https://www.deichmann.com/;www.deichmann.com;body;Bob-Nixkoenner;2025-11-04T16:43:08Z
170;https://github.com/svemailproject/TheySoldMyEmail/issues/170;https://www.billa.at/;www.billa.at;body;Bob-Nixkoenner;2025-11-04T16:41:59Z
169;https://github.com/svemailproject/TheySoldMyEmail/issues/169;https://www.spar.at/;www.spar.at;body;Bob-Nixkoenner;2025-11-04T16:41:02Z
168;https://github.com/svemailproject/TheySoldMyEmail/issues/168;https://www.muenzeoesterreich.at/;www.muenzeoesterreich.at;body;Bob-Nixkoenner;2025-11-04T16:39:32Z
167;https://github.com/svemailproject/TheySoldMyEmail/issues/167;https://www.1ashop.at/;www.1ashop.at;body;Bob-Nixkoenner;2025-11-04T16:38:25Z
166;https://github.com/svemailproject/TheySoldMyEmail/issues/166;https://www.allnatura.de/;www.allnatura.de;body;Bob-Nixkoenner;2025-11-04T16:37:01Z
165;https://github.com/svemailproject/TheySoldMyEmail/issues/165;https://www.humanic.net/;www.humanic.net;body;Bob-Nixkoenner;2025-11-04T16:35:22Z
164;https://github.com/svemailproject/TheySoldMyEmail/issues/164;https://www.pagro.at/;www.pagro.at;body;Bob-Nixkoenner;2025-11-04T16:33:09Z
163;https://github.com/svemailproject/TheySoldMyEmail/issues/163;https://www.meindenns.de/;www.meindenns.de;body;Bob-Nixkoenner;2025-11-04T16:31:03Z
162;https://github.com/svemailproject/TheySoldMyEmail/issues/162;https://www.interdiscount.ch/;www.interdiscount.ch;body;Bob-Nixkoenner;2025-11-04T16:27:43Z
161;https://github.com/svemailproject/TheySoldMyEmail/issues/161;https://www.galaxus.ch/;www.galaxus.ch;body;Bob-Nixkoenner;2025-11-04T16:26:05Z
160;https://github.com/svemailproject/TheySoldMyEmail/issues/160;https://www.coop.ch/;www.coop.ch;body;Bob-Nixkoenner;2025-11-04T16:24:49Z
159;https://github.com/svemailproject/TheySoldMyEmail/issues/159;https://www.migros.ch/;www.migros.ch;body;Bob-Nixkoenner;2025-11-04T16:23:05Z
158;https://github.com/svemailproject/TheySoldMyEmail/issues/158;https://www.apfelkiste.ch/;www.apfelkiste.ch;body;Bob-Nixkoenner;2025-11-04T16:21:39Z
157;https://github.com/svemailproject/TheySoldMyEmail/issues/157;https://www.play-asia.com/;www.play-asia.com;body;Bob-Nixkoenner;2025-11-04T13:57:56Z
156;https://github.com/svemailproject/TheySoldMyEmail/issues/156;https://www.dlcompare.de/;www.dlcompare.de;body;Bob-Nixkoenner;2025-11-04T13:56:23Z
155;https://github.com/svemailproject/TheySoldMyEmail/issues/155;https://www.gamebillet.com/;www.gamebillet.com;body;Bob-Nixkoenner;2025-11-04T13:49:42Z
154;https://github.com/svemailproject/TheySoldMyEmail/issues/154;https://www.wingamestore.com/;www.wingamestore.com;body;Bob-Nixkoenner;2025-11-04T13:47:41Z
153;https://github.com/svemailproject/TheySoldMyEmail/issues/153;https://www.allkeyshop.com/;www.allkeyshop.com;body;Bob-Nixkoenner;2025-11-04T13:46:55Z
152;https://github.com/svemailproject/TheySoldMyEmail/issues/152;https://scdkey.com/;www.de.scdkey.com;body;Bob-Nixkoenner;2025-11-04T13:45:52Z
151;https://github.com/svemailproject/TheySoldMyEmail/issues/151;https://cjs-cdkeys.com/;www.cjs-cdkeys.com;body;Bob-Nixkoenner;2025-11-04T13:45:20Z
150;https://github.com/svemailproject/TheySoldMyEmail/issues/150;https://www.g2play.net/;www.g2play.net;body;Bob-Nixkoenner;2025-11-04T13:44:13Z
149;https://github.com/svemailproject/TheySoldMyEmail/issues/149;https://humblebundle.com/;www.de.humblebundle.com;body;Bob-Nixkoenner;2025-11-04T13:43:43Z
148;https://github.com/svemailproject/TheySoldMyEmail/issues/148;https://www.fanatical.com/;www.fanatical.com;body;Bob-Nixkoenner;2025-11-04T13:43:11Z
147;https://github.com/svemailproject/TheySoldMyEmail/issues/147;https://www.dlgamer.com/;www.dlgamer.com;body;Bob-Nixkoenner;2025-11-04T13:40:38Z
146;https://github.com/svemailproject/TheySoldMyEmail/issues/146;https://gamesplanet.com/;www.de.gamesplanet.com;body;Bob-Nixkoenner;2025-11-04T13:39:46Z
145;https://github.com/svemailproject/TheySoldMyEmail/issues/145;https://www.voidu.com/;www.voidu.com;body;Bob-Nixkoenner;2025-11-04T13:36:25Z
